"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"HH",0,1
"2",20200506,"HH",2.5,0.5
"3",20200507,"HH",3,0.67
"4",20200508,"HH",3.5,0.5
"5",20200509,"HH",3.6,0.4
"6",20200510,"HH",3.83,0.33
"7",20200512,"HH",3.57,0.29
"8",20200513,"HH",3.5,0.25
"9",20200514,"HH",3.22,0.33
"10",20200515,"HH",3,0.4
"11",20200516,"HH",3.18,0.36
"12",20200517,"HH",3.25,0.42
"13",20200519,"HH",4,0.38
"14",20200520,"HH",4.29,0.36
"15",20200521,"HH",4.27,0.4
"16",20200522,"HH",4.19,0.44
"17",20200523,"HH",4.12,0.41
"18",20200524,"HH",4.33,0.39
"19",20200526,"HH",4.5,0.5
"20",20200527,"HH",5.06,0.67
"21",20200528,"HH",5,0.5
"22",20200529,"HH",5.11,0.4
"23",20200530,"HH",5.33,0.33
"24",20200531,"HH",5.39,0.29
"25",20200602,"HH",6.06,0.25
"26",20200603,"HH",6.11,0.33
"27",20200604,"HH",6.28,0.4
"28",20200605,"HH",6.83,0.36
"29",20200606,"HH",7.33,0.42
"30",20200607,"HH",7.5,0.38
"31",20200609,"HH",7.28,0.36
"32",20200610,"HH",7.44,0.4
"33",20200611,"HH",7.5,0.44
"34",20200612,"HH",7.61,0.41
"35",20200613,"HH",7.78,0.39
"36",20200614,"HH",7.33,0.37
"37",20200616,"HH",7.67,0.35
"38",20200617,"HH",7.11,0.33
"39",20200618,"HH",7.33,0.32
"40",20200619,"HH",7.11,0.3
"41",20200620,"HH",6.78,0.29
"42",20200621,"HH",6.83,0.28
"43",20200623,"HH",6.39,0.27
"44",20200624,"HH",6.28,0.26
"45",20200625,"HH",6.17,0.25
"46",20200626,"HH",5.78,0.24
"47",20200627,"HH",5.28,0.23
"48",20200628,"HH",5.33,0.23
"49",20200701,"HH",5.06,0.22
"50",20200702,"HH",4.78,0.21
"51",20200703,"HH",4.61,0.21
"52",20200704,"HH",4.39,0.23
"53",20200705,"HH",4.44,0.25
"54",20200707,"HH",4.78,0.24
"55",20200708,"HH",4.61,0.24
"56",20200709,"HH",4.61,0.23
"57",20200710,"HH",4.5,0.22
"58",20200711,"HH",4.56,0.24
"59",20200713,"HH",4.5,0.24
"60",20200714,"HH",4.44,0.23
"61",20200715,"HH",4.28,0.23
"62",20200716,"HH",4.39,0.24
"63",20200717,"HH",4.72,0.26
"64",20200718,"HH",4.61,0.26
"65",20200719,"HH",4.61,0.25
