"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"HT",11,0
"2",20200506,"HT",2,0
"3",20200507,"HT",5,0.11
"4",20200508,"HT",4,0.15
"5",20200509,"HT",13,0.16
"6",20200510,"HT",3,0.18
"7",20200512,"HT",1,0.22
"8",20200513,"HT",3,0.26
"9",20200514,"HT",4,0.28
"10",20200515,"HT",7,0.29
"11",20200516,"HT",4,0.3
"12",20200517,"HT",5,0.31
"13",20200519,"HT",2,0.32
"14",20200520,"HT",0,0.34
"15",20200521,"HT",1,0.35
"16",20200522,"HT",0,0.36
"17",20200523,"HT",3,0.38
"18",20200524,"HT",2,0.39
"19",20200526,"HT",0,0
"20",20200527,"HT",5,0.11
"21",20200528,"HT",6,0.15
"22",20200529,"HT",6,0.16
"23",20200530,"HT",5,0.18
"24",20200531,"HT",13,0.22
"25",20200602,"HT",2,0.26
"26",20200603,"HT",2,0.28
"27",20200604,"HT",3,0.29
"28",20200605,"HT",5,0.3
"29",20200606,"HT",2,0.31
"30",20200607,"HT",3,0.32
"31",20200609,"HT",2,0.34
"32",20200610,"HT",0,0.35
"33",20200611,"HT",12,0.36
"34",20200612,"HT",3,0.38
"35",20200613,"HT",0,0.39
"36",20200614,"HT",4,0.37
"37",20200616,"HT",4,0.36
"38",20200617,"HT",4,0.36
"39",20200619,"HT",4,0.35
"40",20200620,"HT",3,0.35
"41",20200621,"HT",11,0.35
"42",20200623,"HT",4,0.36
"43",20200626,"HT",5,0.36
"44",20200627,"HT",2,0.36
"45",20200628,"HT",1,0.37
"46",20200701,"HT",3,0.37
"47",20200702,"HT",1,0.37
"48",20200703,"HT",2,0.38
"49",20200704,"HT",9,0.38
"50",20200705,"HT",7,0.39
"51",20200707,"HT",6,0.39
"52",20200708,"HT",7,0.4
"53",20200709,"HT",3,0.4
"54",20200710,"HT",7,0.41
"55",20200711,"HT",3,0.41
"56",20200713,"HT",3,0.41
"57",20200714,"HT",5,0.41
"58",20200715,"HT",2,0.42
"59",20200716,"HT",8,0.42
"60",20200717,"HT",2,0.42
"61",20200718,"HT",6,0.42
"62",20200719,"HT",8,0.43
