"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"LG",2,1
"2",20200506,"LG",2.75,0.75
"3",20200507,"LG",3.28,0.61
"4",20200508,"LG",4.08,0.52
"5",20200510,"LG",4.59,0.5
"6",20200512,"LG",4.88,0.5
"7",20200513,"LG",5,0.51
"8",20200514,"LG",5.03,0.52
"9",20200516,"LG",5,0.54
"10",20200516,"LG",4.96,0.55
"11",20200517,"LG",4.96,0.56
"12",20200519,"LG",4.97,0.57
"13",20200520,"LG",4.96,0.57
"14",20200521,"LG",4.93,0.58
"15",20200522,"LG",4.9,0.59
"16",20200523,"LG",4.89,0.59
"17",20200524,"LG",4.87,0.59
"18",20200526,"LG",4.84,0.6
"19",20200527,"LG",4.97,0.75
"20",20200528,"LG",5.01,0.61
"21",20200529,"LG",4.99,0.52
"22",20200530,"LG",4.82,0.5
"23",20200531,"LG",4.64,0.5
"24",20200602,"LG",4.47,0.51
"25",20200603,"LG",4.36,0.52
"26",20200604,"LG",4.27,0.54
"27",20200605,"LG",4.22,0.55
"28",20200606,"LG",4.19,0.56
"29",20200607,"LG",4.11,0.57
"30",20200609,"LG",4.02,0.57
"31",20200611,"LG",3.94,0.58
"32",20200611,"LG",3.89,0.59
"33",20200612,"LG",3.83,0.59
"34",20200613,"LG",3.77,0.59
"35",20200614,"LG",3.71,0.6
"36",20200616,"LG",3.68,0.59
"37",20200617,"LG",3.64,0.58
"38",20200618,"LG",3.63,0.56
"39",20200619,"LG",3.68,0.55
"40",20200620,"LG",3.77,0.55
"41",20200621,"LG",3.85,0.55
"42",20200623,"LG",3.97,0.56
"43",20200625,"LG",4.03,0.56
"44",20200625,"LG",4.13,0.57
"45",20200626,"LG",4.21,0.57
"46",20200627,"LG",4.26,0.57
"47",20200628,"LG",4.34,0.57
"48",20200630,"LG",4.42,0.58
"49",20200701,"LG",4.53,0.58
"50",20200702,"LG",4.63,0.58
"51",20200703,"LG",4.75,0.58
"52",20200704,"LG",4.87,0.58
"53",20200705,"LG",4.97,0.59
"54",20200707,"LG",5.07,0.59
"55",20200708,"LG",5.19,0.59
"56",20200709,"LG",5.3,0.6
"57",20200710,"LG",5.33,0.6
"58",20200711,"LG",5.34,0.6
"59",20200714,"LG",5.37,0.6
"60",20200715,"LG",5.37,0.6
"61",20200716,"LG",5.39,0.6
"62",20200717,"LG",5.37,0.6
"63",20200718,"LG",5.33,0.6
"64",20200719,"LG",5.31,0.6
