"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"LT",2,1
"2",20200506,"LT",2.25,1
"3",20200507,"LT",2.39,1
"4",20200508,"LT",2.79,1
"5",20200510,"LT",2.87,1
"6",20200512,"LT",3.14,0.97
"7",20200513,"LT",3.43,0.96
"8",20200514,"LT",3.64,0.93
"9",20200515,"LT",3.77,0.9
"10",20200516,"LT",3.83,0.88
"11",20200517,"LT",3.86,0.86
"12",20200519,"LT",3.92,0.84
"13",20200520,"LT",3.98,0.81
"14",20200521,"LT",4.04,0.79
"15",20200522,"LT",4.1,0.77
"16",20200523,"LT",4.18,0.76
"17",20200524,"LT",4.23,0.74
"18",20200526,"LT",4.26,0.73
"19",20200527,"LT",4.44,1
"20",20200528,"LT",4.6,1
"21",20200529,"LT",4.75,1
"22",20200530,"LT",4.81,1
"23",20200531,"LT",4.92,0.97
"24",20200602,"LT",4.95,0.96
"25",20200603,"LT",4.96,0.93
"26",20200604,"LT",4.96,0.9
"27",20200605,"LT",5,0.88
"28",20200606,"LT",5.05,0.86
"29",20200607,"LT",5.11,0.84
"30",20200609,"LT",5.14,0.81
"31",20200610,"LT",5.14,0.79
"32",20200611,"LT",5.12,0.77
"33",20200612,"LT",5.07,0.76
"34",20200613,"LT",4.98,0.74
"35",20200614,"LT",4.94,0.73
"36",20200616,"LT",4.93,0.75
"37",20200617,"LT",4.87,0.76
"38",20200618,"LT",4.81,0.77
"39",20200619,"LT",4.76,0.78
"40",20200620,"LT",4.71,0.78
"41",20200621,"LT",4.65,0.79
"42",20200623,"LT",4.59,0.79
"43",20200626,"LT",4.51,0.78
"44",20200627,"LT",4.42,0.78
"45",20200628,"LT",4.32,0.77
"46",20200630,"LT",4.25,0.77
"47",20200701,"LT",4.19,0.76
"48",20200702,"LT",4.15,0.75
"49",20200703,"LT",4.15,0.74
"50",20200704,"LT",4.17,0.74
"51",20200705,"LT",4.23,0.73
"52",20200707,"LT",4.29,0.73
"53",20200708,"LT",4.31,0.72
"54",20200709,"LT",4.3,0.71
"55",20200710,"LT",4.32,0.71
"56",20200711,"LT",4.33,0.7
"57",20200714,"LT",4.3,0.7
"58",20200715,"LT",4.31,0.69
"59",20200716,"LT",4.34,0.68
"60",20200717,"LT",4.42,0.68
"61",20200718,"LT",4.51,0.67
"62",20200719,"LT",4.59,0.67
