"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"NC",0,1
"2",20200506,"NC",0.75,1
"3",20200507,"NC",1.06,1
"4",20200508,"NC",1.42,1
"5",20200510,"NC",1.93,0.96
"6",20200512,"NC",2.33,0.94
"7",20200513,"NC",2.59,0.93
"8",20200514,"NC",2.72,0.92
"9",20200515,"NC",2.8,0.92
"10",20200516,"NC",2.84,0.92
"11",20200517,"NC",2.89,0.92
"12",20200519,"NC",2.93,0.92
"13",20200520,"NC",2.96,0.91
"14",20200521,"NC",3,0.91
"15",20200522,"NC",3.03,0.9
"16",20200523,"NC",3.04,0.89
"17",20200524,"NC",3.06,0.89
"18",20200526,"NC",3.07,0.89
"19",20200527,"NC",3.27,1
"20",20200528,"NC",3.38,1
"21",20200529,"NC",3.5,1
"22",20200530,"NC",3.58,0.96
"23",20200531,"NC",3.56,0.94
"24",20200602,"NC",3.53,0.93
"25",20200603,"NC",3.52,0.92
"26",20200604,"NC",3.53,0.92
"27",20200605,"NC",3.56,0.92
"28",20200606,"NC",3.6,0.92
"29",20200607,"NC",3.62,0.92
"30",20200609,"NC",3.65,0.91
"31",20200610,"NC",3.71,0.91
"32",20200611,"NC",3.76,0.9
"33",20200612,"NC",3.8,0.89
"34",20200613,"NC",3.91,0.89
"35",20200614,"NC",4.02,0.89
"36",20200616,"NC",4.14,0.89
"37",20200617,"NC",4.27,0.9
"38",20200619,"NC",4.37,0.9
"39",20200620,"NC",4.46,0.9
"40",20200621,"NC",4.54,0.9
"41",20200623,"NC",4.62,0.89
"42",20200625,"NC",4.68,0.89
"43",20200625,"NC",4.77,0.89
"44",20200626,"NC",4.86,0.89
"45",20200627,"NC",4.99,0.89
"46",20200628,"NC",5.11,0.89
"47",20200630,"NC",5.26,0.89
"48",20200701,"NC",5.37,0.89
"49",20200702,"NC",5.46,0.89
"50",20200703,"NC",5.56,0.89
"51",20200704,"NC",5.67,0.88
"52",20200705,"NC",5.69,0.88
"53",20200707,"NC",5.7,0.88
"54",20200708,"NC",5.69,0.88
"55",20200709,"NC",5.65,0.88
"56",20200710,"NC",5.63,0.88
"57",20200711,"NC",5.62,0.87
"58",20200714,"NC",5.6,0.87
"59",20200715,"NC",5.61,0.87
"60",20200716,"NC",5.63,0.87
"61",20200717,"NC",5.58,0.86
"62",20200718,"NC",5.52,0.86
"63",20200719,"NC",5.39,0.86
