"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"OB",8,0
"2",20200506,"OB",6.25,0.25
"3",20200507,"OB",5.5,0.39
"4",20200508,"OB",5.62,0.42
"5",20200510,"OB",5.94,0.45
"6",20200512,"OB",6.12,0.49
"7",20200513,"OB",6.24,0.5
"8",20200514,"OB",6.29,0.52
"9",20200515,"OB",6.25,0.53
"10",20200516,"OB",6.28,0.54
"11",20200517,"OB",6.27,0.55
"12",20200519,"OB",6.26,0.55
"13",20200520,"OB",6.21,0.56
"14",20200521,"OB",6.21,0.56
"15",20200522,"OB",6.21,0.56
"16",20200523,"OB",6.2,0.56
"17",20200524,"OB",6.22,0.57
"18",20200526,"OB",6.23,0.57
"19",20200527,"OB",6.12,0.25
"20",20200528,"OB",6.22,0.39
"21",20200529,"OB",6.35,0.42
"22",20200530,"OB",6.34,0.45
"23",20200531,"OB",6.23,0.49
"24",20200602,"OB",6.14,0.5
"25",20200603,"OB",6.04,0.52
"26",20200604,"OB",5.97,0.53
"27",20200605,"OB",5.94,0.54
"28",20200606,"OB",5.85,0.55
"29",20200607,"OB",5.77,0.55
"30",20200609,"OB",5.72,0.56
"31",20200610,"OB",5.7,0.56
"32",20200611,"OB",5.63,0.56
"33",20200612,"OB",5.54,0.56
"34",20200613,"OB",5.46,0.57
"35",20200614,"OB",5.33,0.57
"36",20200616,"OB",5.21,0.56
"37",20200617,"OB",5.11,0.57
"38",20200618,"OB",4.98,0.57
"39",20200619,"OB",4.88,0.57
"40",20200620,"OB",4.8,0.57
"41",20200621,"OB",4.74,0.57
"42",20200623,"OB",4.67,0.57
"43",20200625,"OB",4.61,0.58
"44",20200625,"OB",4.53,0.58
"45",20200626,"OB",4.48,0.58
"46",20200627,"OB",4.46,0.58
"47",20200628,"OB",4.45,0.58
"48",20200630,"OB",4.41,0.58
"49",20200701,"OB",4.37,0.58
"50",20200702,"OB",4.36,0.58
"51",20200703,"OB",4.37,0.58
"52",20200704,"OB",4.37,0.58
"53",20200705,"OB",4.41,0.59
"54",20200707,"OB",4.45,0.59
"55",20200708,"OB",4.49,0.59
"56",20200709,"OB",4.55,0.59
"57",20200710,"OB",4.56,0.59
"58",20200711,"OB",4.6,0.59
"59",20200714,"OB",4.66,0.59
"60",20200715,"OB",4.74,0.59
"61",20200716,"OB",4.8,0.59
"62",20200717,"OB",4.85,0.59
"63",20200718,"OB",4.86,0.59
"64",20200719,"OB",4.87,0.59
