"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"SK",3,0
"2",20200506,"SK",2.75,0.25
"3",20200507,"SK",3.28,0.28
"4",20200508,"SK",3.83,0.27
"5",20200510,"SK",4.11,0.26
"6",20200512,"SK",4.31,0.24
"7",20200513,"SK",4.49,0.23
"8",20200514,"SK",4.58,0.21
"9",20200515,"SK",4.67,0.2
"10",20200516,"SK",4.7,0.19
"11",20200517,"SK",4.78,0.18
"12",20200519,"SK",4.87,0.17
"13",20200520,"SK",4.94,0.17
"14",20200521,"SK",5,0.17
"15",20200522,"SK",5.03,0.17
"16",20200523,"SK",5.07,0.16
"17",20200524,"SK",5.09,0.17
"18",20200526,"SK",5.1,0.17
"19",20200527,"SK",5.22,0.25
"20",20200528,"SK",5.37,0.28
"21",20200529,"SK",5.41,0.27
"22",20200530,"SK",5.37,0.26
"23",20200531,"SK",5.34,0.24
"24",20200602,"SK",5.28,0.23
"25",20200603,"SK",5.22,0.21
"26",20200604,"SK",5.2,0.2
"27",20200605,"SK",5.16,0.19
"28",20200606,"SK",5.14,0.18
"29",20200607,"SK",5.06,0.17
"30",20200609,"SK",4.94,0.17
"31",20200611,"SK",4.84,0.17
"32",20200611,"SK",4.72,0.17
"33",20200612,"SK",4.62,0.16
"34",20200613,"SK",4.5,0.17
"35",20200614,"SK",4.4,0.17
"36",20200616,"SK",4.33,0.18
"37",20200617,"SK",4.25,0.19
"38",20200618,"SK",4.19,0.19
"39",20200619,"SK",4.13,0.19
"40",20200620,"SK",4.1,0.19
"41",20200621,"SK",4.09,0.19
"42",20200623,"SK",4.11,0.19
"43",20200625,"SK",4.15,0.18
"44",20200625,"SK",4.14,0.18
"45",20200626,"SK",4.14,0.18
"46",20200627,"SK",4.13,0.17
"47",20200628,"SK",4.14,0.17
"48",20200630,"SK",4.18,0.17
"49",20200701,"SK",4.23,0.17
"50",20200702,"SK",4.3,0.17
"51",20200703,"SK",4.35,0.17
"52",20200704,"SK",4.43,0.17
"53",20200705,"SK",4.51,0.17
"54",20200707,"SK",4.58,0.17
"55",20200708,"SK",4.64,0.17
"56",20200709,"SK",4.69,0.18
"57",20200710,"SK",4.76,0.18
"58",20200711,"SK",4.79,0.18
"59",20200713,"SK",4.8,0.19
"60",20200714,"SK",4.78,0.19
"61",20200715,"SK",4.73,0.19
"62",20200716,"SK",4.72,0.2
"63",20200717,"SK",4.73,0.2
"64",20200718,"SK",4.76,0.2
"65",20200719,"SK",4.8,0.21
