"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"SS",4,0
"2",20200506,"SS",4,0
"3",20200507,"SS",4.33,0
"4",20200508,"SS",4.19,0.06
"5",20200509,"SS",4.03,0.13
"6",20200510,"SS",4.05,0.16
"7",20200512,"SS",4.03,0.18
"8",20200513,"SS",3.94,0.21
"9",20200514,"SS",3.9,0.23
"10",20200515,"SS",3.93,0.25
"11",20200516,"SS",4,0.26
"12",20200517,"SS",4.07,0.26
"13",20200519,"SS",4.16,0.27
"14",20200520,"SS",4.21,0.28
"15",20200521,"SS",4.25,0.28
"16",20200522,"SS",4.3,0.28
"17",20200523,"SS",4.37,0.28
"18",20200524,"SS",4.41,0.28
"19",20200526,"SS",4.46,0
"20",20200527,"SS",4.5,0
"21",20200528,"SS",4.46,0.06
"22",20200529,"SS",4.51,0.13
"23",20200530,"SS",4.58,0.16
"24",20200531,"SS",4.61,0.18
"25",20200602,"SS",4.65,0.21
"26",20200603,"SS",4.74,0.23
"27",20200604,"SS",4.82,0.25
"28",20200605,"SS",4.85,0.26
"29",20200606,"SS",4.85,0.26
"30",20200607,"SS",4.82,0.27
"31",20200609,"SS",4.75,0.28
"32",20200610,"SS",4.69,0.28
"33",20200611,"SS",4.65,0.28
"34",20200613,"SS",4.57,0.28
"35",20200613,"SS",4.45,0.28
"36",20200614,"SS",4.36,0.27
"37",20200616,"SS",4.27,0.26
"38",20200617,"SS",4.21,0.26
"39",20200618,"SS",4.19,0.26
"40",20200619,"SS",4.15,0.26
"41",20200620,"SS",4.13,0.27
"42",20200621,"SS",4.07,0.27
"43",20200623,"SS",4.04,0.28
"44",20200624,"SS",3.98,0.28
"45",20200625,"SS",3.9,0.28
"46",20200626,"SS",3.85,0.29
"47",20200627,"SS",3.79,0.29
"48",20200628,"SS",3.78,0.29
"49",20200630,"SS",3.77,0.29
"50",20200701,"SS",3.75,0.29
"51",20200702,"SS",3.73,0.29
"52",20200703,"SS",3.75,0.29
"53",20200704,"SS",3.78,0.29
"54",20200705,"SS",3.82,0.29
"55",20200707,"SS",3.87,0.3
"56",20200708,"SS",3.91,0.3
"57",20200709,"SS",3.93,0.3
"58",20200710,"SS",3.97,0.31
"59",20200711,"SS",4,0.31
"60",20200714,"SS",4.04,0.31
"61",20200715,"SS",4.06,0.32
"62",20200716,"SS",4.12,0.32
"63",20200717,"SS",4.17,0.32
"64",20200718,"SS",4.21,0.32
"65",20200719,"SS",4.26,0.32
