"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"WO",0,1
"2",20200506,"WO",0.5,1
"3",20200507,"WO",1.44,0.89
"4",20200508,"WO",1.9,0.86
"5",20200509,"WO",2.16,0.84
"6",20200510,"WO",2.33,0.84
"7",20200512,"WO",2.38,0.84
"8",20200513,"WO",2.43,0.83
"9",20200514,"WO",2.53,0.81
"10",20200516,"WO",2.6,0.79
"11",20200516,"WO",2.68,0.77
"12",20200517,"WO",2.75,0.76
"13",20200519,"WO",2.82,0.74
"14",20200520,"WO",2.88,0.73
"15",20200521,"WO",2.95,0.72
"16",20200522,"WO",3.02,0.71
"17",20200523,"WO",3.09,0.71
"18",20200524,"WO",3.14,0.7
"19",20200526,"WO",3.38,1
"20",20200527,"WO",3.59,0.89
"21",20200528,"WO",3.68,0.86
"22",20200529,"WO",3.75,0.84
"23",20200530,"WO",3.84,0.84
"24",20200531,"WO",3.95,0.84
"25",20200602,"WO",4.09,0.83
"26",20200603,"WO",4.23,0.81
"27",20200604,"WO",4.32,0.79
"28",20200605,"WO",4.41,0.77
"29",20200606,"WO",4.49,0.76
"30",20200607,"WO",4.57,0.74
"31",20200609,"WO",4.64,0.73
"32",20200610,"WO",4.7,0.72
"33",20200611,"WO",4.75,0.71
"34",20200612,"WO",4.75,0.71
"35",20200613,"WO",4.77,0.7
"36",20200614,"WO",4.82,0.71
"37",20200616,"WO",4.84,0.71
"38",20200617,"WO",4.81,0.71
"39",20200618,"WO",4.76,0.72
"40",20200619,"WO",4.73,0.72
"41",20200620,"WO",4.69,0.73
"42",20200621,"WO",4.59,0.73
"43",20200623,"WO",4.49,0.73
"44",20200625,"WO",4.39,0.72
"45",20200625,"WO",4.31,0.72
"46",20200626,"WO",4.25,0.71
"47",20200627,"WO",4.18,0.71
"48",20200628,"WO",4.08,0.7
"49",20200630,"WO",3.99,0.7
"50",20200701,"WO",3.94,0.7
"51",20200702,"WO",3.9,0.69
"52",20200703,"WO",3.87,0.69
"53",20200704,"WO",3.84,0.68
"54",20200705,"WO",3.79,0.68
"55",20200707,"WO",3.76,0.67
"56",20200708,"WO",3.76,0.67
"57",20200709,"WO",3.79,0.67
"58",20200710,"WO",3.84,0.66
"59",20200711,"WO",3.91,0.66
"60",20200713,"WO",4.04,0.66
"61",20200714,"WO",4.17,0.65
"62",20200715,"WO",4.3,0.65
"63",20200716,"WO",4.44,0.65
"64",20200717,"WO",4.58,0.65
"65",20200718,"WO",4.72,0.65
"66",20200719,"WO",4.9,0.65
