GDAY_DS,BA
2020-07-21,0.103
2020-07-22,0.138
2020-07-24,0.235
2020-07-26,0.235
2020-07-27,0.172
2020-07-29,0.409
2020-07-30,0.081
2020-07-31,0.294
2020-08-01,0.235
2020-08-05,0.364
2020-08-06,0.172
2020-08-09,0.235
2020-08-11,0.227
2020-08-12,0.118
2020-08-13,0.281
2020-08-14,0.133
2020-08-15,0.233
2020-08-16,0.077
2020-08-18,0.188
2020-08-19,0.300
2020-08-20,0.069
2020-08-21,0.314
2020-08-23,0.194
2020-08-23,0.368
2020-08-25,0.297
2020-08-26,0.206
2020-08-27,0.333
2020-08-29,0.289
2020-08-30,0.182
2020-09-01,0.103
2020-09-03,0.289
2020-09-04,0.333
2020-09-05,0.242
2020-09-06,0.278
2020-09-08,0.278
2020-09-09,0.263
2020-09-09,0.324
2020-09-10,0.167
2020-09-11,0.176
2020-09-12,0.200
2020-09-13,0.200
2020-09-15,0.289
2020-09-16,0.257
2020-09-17,0.103
2020-09-18,0.222
2020-09-19,0.161
2020-09-20,0.400
