GDAY_DS,BA
2020-07-21,0.103
2020-07-22,0.167
2020-07-25,0.355
2020-07-26,0.324
2020-07-30,0.242
2020-07-31,0.235
2020-08-01,0.265
2020-08-02,0.133
2020-08-04,0.222
2020-08-05,0.257
2020-08-06,0.343
2020-08-08,0.143
2020-08-09,0.125
2020-08-11,0.314
2020-08-12,0.069
2020-08-13,0.156
2020-08-14,0.226
2020-08-15,0.415
2020-08-16,0.395
2020-08-18,0.275
2020-08-19,0.235
2020-08-20,0.152
2020-08-21,0.265
2020-08-22,0.206
2020-08-23,0.306
2020-08-25,0.265
2020-08-26,0.366
2020-08-27,0.242
2020-08-28,0.333
2020-08-30,0.303
2020-08-30,0.294
2020-09-01,0.290
2020-09-03,0.278
2020-09-04,0.235
2020-09-04,0.270
2020-09-05,0.361
2020-09-06,0.286
2020-09-08,0.226
2020-09-10,0.219
2020-09-12,0.350
2020-09-13,0.303
2020-09-15,0.172
2020-09-16,0.303
2020-09-17,0.400
2020-09-18,0.385
2020-09-19,0.345
2020-09-20,0.273
