GDAY_DS,BA
2020-07-21,0.353 
2020-07-24,0.182 
2020-07-25,0.276 
2020-07-26,0.235 
2020-07-30,0.355 
2020-07-31,0.410 
2020-08-01,0.361 
2020-08-04,0.344 
2020-08-05,0.294 
2020-08-06,0.125 
2020-08-09,0.324 
2020-08-11,0.355 
2020-08-12,0.074 
2020-08-13,0.278 
2020-08-14,0.255 
2020-08-15,0.206 
2020-08-16,0.314 
2020-08-18,0.273 
2020-08-19,0.194 
2020-08-20,0.194 
2020-08-21,0.133 
2020-08-23,0.382 
2020-08-24,0.378 
2020-08-25,0.156 
2020-08-26,0.286 
2020-08-27,0.069 
2020-08-28,0.139 
2020-08-30,0.206 
2020-08-30,0.270 
2020-09-01,0.378 
2020-09-03,0.353 
2020-09-04,0.371 
2020-09-04,0.273 
2020-09-05,0.297 
2020-09-06,0.316 
2020-09-08,0.182 
2020-09-09,0.132 
2020-09-10,0.250 
2020-09-11,0.194 
2020-09-12,0.290 
2020-09-13,0.364 
2020-09-15,0.222 
2020-09-16,0.442 
2020-09-17,0.290 
2020-09-18,0.275 
2020-09-19,0.235 
2020-09-20,0.297 
