GDAY_DS,BA
2020-07-21,0.342
2020-07-24,0.375
2020-07-25,0.286
2020-07-26,0.212
2020-07-28,0.469
2020-07-29,0.361
2020-07-30,0.333
2020-07-31,0.138
2020-08-01,0.385
2020-08-04,0.390
2020-08-05,0.314
2020-08-06,0.143
2020-08-07,0.278
2020-08-08,0.250
2020-08-09,0.133
2020-08-11,0.250
2020-08-12,0.353
2020-08-13,0.276
2020-08-14,0.419
2020-08-15,0.375
2020-08-16,0.219
2020-08-18,0.324
2020-08-19,0.353
2020-08-20,0.250
2020-08-21,0.278
2020-08-23,0.200
2020-08-24,0.156
2020-08-25,0.212
2020-08-26,0.278
2020-08-27,0.207
2020-08-28,0.300
2020-08-29,0.270
2020-08-30,0.267
2020-09-01,0.289
2020-09-03,0.281
2020-09-04,0.283
2020-09-06,0.333
2020-09-07,0.400
2020-09-08,0.314
2020-09-10,0.286
2020-09-11,0.242
2020-09-12,0.069
2020-09-13,0.129
2020-09-15,0.205
2020-09-16,0.375
2020-09-17,0.235
2020-09-18,0.206
2020-09-19,0.450
2020-09-20,0.270
