GDAY_DS,BA
2020-07-21,0.286 
2020-07-24,0.273 
2020-07-25,0.257 
2020-07-26,0.235 
2020-07-28,0.389 
2020-07-31,0.182 
2020-08-01,0.323 
2020-08-02,0.324 
2020-08-04,0.366 
2020-08-06,0.182 
2020-08-07,0.308 
2020-08-08,0.273 
2020-08-12,0.394 
2020-08-13,0.212 
2020-08-14,0.355 
2020-08-15,0.200 
2020-08-16,0.200 
2020-08-18,0.176 
2020-08-19,0.323 
2020-08-20,0.306 
2020-08-21,0.097 
2020-08-22,0.333 
2020-08-23,0.270 
2020-08-25,0.289 
2020-08-26,0.143 
2020-08-27,0.333 
2020-08-28,0.324 
2020-08-29,0.333 
2020-08-30,0.294 
2020-09-01,0.207 
2020-09-03,0.167 
2020-09-04,0.172 
2020-09-04,0.412 
2020-09-06,0.103 
2020-09-07,0.410 
2020-09-08,0.182 
2020-09-09,0.222 
2020-09-10,0.467 
2020-09-11,0.378 
2020-09-12,0.200 
2020-09-13,0.172 
2020-09-15,0.303 
2020-09-16,0.359 
2020-09-17,0.235 
2020-09-18,0.222 
2020-09-19,0.233 
2020-09-20,0.229 
2020-09-20,0.306 
