GDAY_DS,BA
2020-07-21,0.342
2020-07-24,0.219
2020-07-25,0.194
2020-07-26,0.219
2020-07-28,0.405
2020-07-31,0.378
2020-08-01,0.333
2020-08-02,0.190
2020-08-05,0.200
2020-08-06,0.250
2020-08-08,0.194
2020-08-09,0.359
2020-08-12,0.257
2020-08-13,0.359
2020-08-14,0.222
2020-08-15,0.294
2020-08-16,0.265
2020-08-18,0.259
2020-08-19,0.194
2020-08-20,0.467
2020-08-21,0.263
2020-08-23,0.257
2020-08-24,0.235
2020-08-25,0.395
2020-08-26,0.306
2020-08-27,0.371
2020-08-28,0.286
2020-08-29,0.400
2020-08-30,0.250
2020-09-01,0.313
2020-09-02,0.265
2020-09-03,0.400
2020-09-04,0.283
2020-09-06,0.161
2020-09-08,0.405
2020-09-09,0.262
2020-09-10,0.361
2020-09-11,0.351
2020-09-12,0.188
2020-09-13,0.250
2020-09-15,0.182
2020-09-16,0.235
2020-09-17,0.265
2020-09-18,0.258
2020-09-19,0.294
2020-09-20,0.286
2020-09-21,0.351
