GDAY_DS,BA
2020-07-21,0.226 
2020-07-24,0.258 
2020-07-25,0.323 
2020-07-26,0.250 
2020-07-28,0.250 
2020-07-30,0.278 
2020-07-31,0.359 
2020-08-01,0.378 
2020-08-02,0.313 
2020-08-04,0.250 
2020-08-05,0.143 
2020-08-06,0.226 
2020-08-07,0.314 
2020-08-08,0.188 
2020-08-11,0.273 
2020-08-12,0.533 
2020-08-13,0.143 
2020-08-14,0.222 
2020-08-15,0.342 
2020-08-16,0.107 
2020-08-18,0.372 
2020-08-19,0.214 
2020-08-20,0.350 
2020-08-21,0.161 
2020-08-22,0.308 
2020-08-23,0.257 
2020-08-25,0.405 
2020-08-26,0.314 
2020-08-27,0.351 
2020-08-28,0.391 
2020-08-29,0.314 
2020-08-30,0.226 
2020-09-01,0.303 
2020-09-03,0.263 
2020-09-04,0.250 
2020-09-05,0.207 
2020-09-06,0.368 
2020-09-08,0.333 
2020-09-09,0.244 
2020-09-10,0.250 
2020-09-12,0.138 
2020-09-13,0.313 
2020-09-15,0.267 
2020-09-16,0.219 
2020-09-17,0.182 
2020-09-18,0.268 
2020-09-19,0.278 
2020-09-20,0.290 
