GDAY_DS,BA
2020-07-21,0.382 
2020-07-24,0.235 
2020-07-26,0.286 
2020-07-27,0.313 
2020-07-28,0.235 
2020-07-29,0.350 
2020-07-30,0.133 
2020-07-31,0.129 
2020-08-01,0.188 
2020-08-04,0.194 
2020-08-06,0.242 
2020-08-07,0.125 
2020-08-08,0.158 
2020-08-11,0.133 
2020-08-12,0.333 
2020-08-13,0.390 
2020-08-14,0.387 
2020-08-15,0.273 
2020-08-16,0.206 
2020-08-18,0.258 
2020-08-19,0.478 
2020-08-20,0.314 
2020-08-21,0.375 
2020-08-22,0.250 
2020-08-22,0.265 
2020-08-25,0.297 
2020-08-26,0.138 
2020-08-27,0.389 
2020-08-28,0.333 
2020-08-29,0.257 
2020-08-30,0.212 
2020-09-01,0.286 
2020-09-03,0.250 
2020-09-04,0.156 
2020-09-04,0.294 
2020-09-05,0.167 
2020-09-06,0.097 
2020-09-08,0.356 
2020-09-09,0.257 
2020-09-10,0.250 
2020-09-11,0.242 
2020-09-12,0.172 
2020-09-13,0.148 
2020-09-15,0.425 
2020-09-16,0.297 
2020-09-17,0.133 
2020-09-18,0.258 
2020-09-19,0.100 
2020-09-20,0.107 
