GDAY_DS,BA
2020-07-21,0.250 
2020-07-25,0.219 
2020-07-26,0.333 
2020-07-29,0.265 
2020-07-30,0.167 
2020-07-31,0.229 
2020-08-01,0.235 
2020-08-02,0.256 
2020-08-04,0.206 
2020-08-05,0.353 
2020-08-06,0.289 
2020-08-07,0.207 
2020-08-08,0.294 
2020-08-11,0.235 
2020-08-12,0.381 
2020-08-13,0.273 
2020-08-14,0.366 
2020-08-15,0.103 
2020-08-16,0.156 
2020-08-18,0.188 
2020-08-19,0.324 
2020-08-20,0.257 
2020-08-21,0.297 
2020-08-22,0.286 
2020-08-23,0.129 
2020-08-25,0.226 
2020-08-26,0.257 
2020-08-27,0.250 
2020-08-29,0.270 
2020-08-30,0.294 
2020-09-01,0.133 
2020-09-03,0.457 
2020-09-04,0.432 
2020-09-06,0.294 
2020-09-08,0.194 
2020-09-09,0.226 
2020-09-09,0.097 
2020-09-10,0.270 
2020-09-11,0.222 
2020-09-12,0.219 
2020-09-13,0.429 
2020-09-15,0.378 
2020-09-16,0.359 
2020-09-17,0.212 
2020-09-18,0.257 
2020-09-19,0.297 
2020-09-20,0.429 
