GDAY_DS,BA
2020-07-21,0.257 
2020-07-24,0.194 
2020-07-25,0.111 
2020-07-26,0.371 
2020-07-28,0.235 
2020-07-30,0.382 
2020-07-31,0.278 
2020-08-01,0.479 
2020-08-02,0.263 
2020-08-04,0.294 
2020-08-05,0.375 
2020-08-06,0.250 
2020-08-07,0.188 
2020-08-08,0.281 
2020-08-09,0.250 
2020-08-11,0.267 
2020-08-12,0.300 
2020-08-13,0.355 
2020-08-14,0.156 
2020-08-15,0.265 
2020-08-16,0.257 
2020-08-18,0.206 
2020-08-19,0.229 
2020-08-20,0.258 
2020-08-21,0.182 
2020-08-22,0.313 
2020-08-23,0.351 
2020-08-25,0.278 
2020-08-26,0.222 
2020-08-27,0.375 
2020-08-28,0.306 
2020-08-29,0.267 
2020-08-30,0.324 
2020-09-01,0.182 
2020-09-02,0.226 
2020-09-03,0.265 
2020-09-04,0.188 
2020-09-05,0.156 
2020-09-06,0.265 
2020-09-08,0.395 
2020-09-09,0.314 
2020-09-10,0.188 
2020-09-11,0.342 
2020-09-12,0.290 
2020-09-13,0.265 
2020-09-15,0.289 
2020-09-16,0.125 
2020-09-17,0.154 
2020-09-18,0.129 
2020-09-19,0.385 
2020-09-20,0.351 
