GDAY_DS,ER,WLS
2020-07-21,9,0
2020-07-22,2,0
2020-07-24,7,0
2020-07-26,7,0
2020-07-27,5,
2020-07-29,7,1
2020-07-30,1,0
2020-07-31,1,1
2020-08-01,7,0
2020-08-05,5,1
2020-08-06,4,0
2020-08-09,6,0
2020-08-11,4,1
2020-08-12,3,0
2020-08-14,10,0
2020-08-15,2,0
2020-08-16,2,1
2020-08-18,4,0
2020-08-19,22,0
2020-08-20,3,0
2020-08-21,1,1
2020-08-23,3,1
2020-08-24,2,1
2020-08-25,11,0
2020-08-26,6,0
2020-08-27,0,1
2020-08-29,9,0
2020-08-30,2,0
2020-09-01,3,0
2020-09-03,6,0
2020-09-04,1,1
2020-09-05,5,0
2020-09-06,7,0
2020-09-08,2,1
2020-09-09,4,
2020-09-10,5,0
2020-09-11,3,0
2020-09-12,5,0
2020-09-13,5,0
2020-09-15,4,1
2020-09-16,10,0
2020-09-17,5,0
2020-09-18,0,1
2020-09-19,6,0
2020-09-20,3,1
