GDAY_DS,ER,WLS
2020-07-21,2,1
2020-07-22,1,1
2020-07-25,2,1
2020-07-26,5,1
2020-07-30,4,0
2020-07-31,1,1
2020-08-01,6,0
2020-08-02,7,0
2020-08-04,15,0
2020-08-05,6,0
2020-08-06,1,1
2020-08-08,2,1
2020-08-09,8,0
2020-08-11,4,1
2020-08-12,8,0
2020-08-13,4,0
2020-08-14,6,1
2020-08-15,3,1
2020-08-16,5,1
2020-08-18,5,0
2020-08-19,9,0
2020-08-20,14,0
2020-08-21,6,0
2020-08-22,4,1
2020-08-23,7,1
2020-08-25,8,0
2020-08-26,4,1
2020-08-27,5,0
2020-08-28,7,1
2020-08-30,5,0
2020-08-30,4,1
2020-08-31,0,1
2020-09-03,3,1
2020-09-04,3,1
2020-09-04,9,0
2020-09-05,4,1
2020-09-06,4,1
2020-09-08,2,1
2020-09-10,5,0
2020-09-12,3,1
2020-09-13,3,1
2020-09-15,15,0
2020-09-16,5,0
2020-09-17,2,1
2020-09-18,3,1
2020-09-19,0,1
2020-09-20,11,0
