GDAY_DS,ER,WLS
2020-07-21,9,1
2020-07-24,3,0
2020-07-25,2,1
2020-07-26,4,0
2020-07-30,1,1
2020-07-31,1,1
2020-08-01,0,1
2020-08-04,2,1
2020-08-05,7,0
2020-08-06,3,0
2020-08-09,2,1
2020-08-11,0,1
2020-08-12,11,0
2020-08-13,6,0
2020-08-13,9,0
2020-08-14,3,1
2020-08-15,4,0
2020-08-16,1,1
2020-08-18,2,1
2020-08-19,4,1
2020-08-20,0,1
2020-08-21,5,0
2020-08-23,1,1
2020-08-24,1,1
2020-08-25,3,0
2020-08-26,5,1
2020-08-27,1,0
2020-08-28,6,0
2020-08-30,5,1
2020-08-30,4,0
2020-08-31,2,1
2020-09-03,2,1
2020-09-04,2,1
2020-09-04,5,1
2020-09-05,1,1
2020-09-06,7,1
2020-09-08,8,0
2020-09-09,2,0
2020-09-10,12,0
2020-09-11,9,0
2020-09-12,2,1
2020-09-13,3,1
2020-09-15,6,0
2020-09-16,6,1
2020-09-17,0,1
2020-09-18,3,1
2020-09-19,0,1
2020-09-20,1,1
