GDAY_DS,ER,WLS
2020-07-21,10,0
2020-07-24,1,1
2020-07-25,7,0
2020-07-26,3,1
2020-07-28,7,1
2020-07-29,6,1
2020-07-30,1,1
2020-07-31,2,0
2020-08-01,6,1
2020-08-04,3,1
2020-08-05,4,1
2020-08-06,13,0
2020-08-07,2,1
2020-08-08,5,0
2020-08-09,1,0
2020-08-11,8,0
2020-08-12,0,1
2020-08-13,1,1
2020-08-14,4,1
2020-08-15,4,1
2020-08-16,5,1
2020-08-18,5,1
2020-08-19,1,1
2020-08-20,6,0
2020-08-21,3,1
2020-08-23,2,0
2020-08-24,4,0
2020-08-25,4,0
2020-08-26,5,1
2020-08-27,0,1
2020-08-28,5,1
2020-08-29,5,
2020-08-30,1,1
2020-09-01,5,1
2020-09-03,5,1
2020-09-04,5,
2020-09-06,1,1
2020-09-07,12,0
2020-09-08,1,0
2020-09-10,1,1
2020-09-11,8,0
2020-09-12,5,1
2020-09-13,9,0
2020-09-15,6,0
2020-09-16,5,1
2020-09-17,1,1
2020-09-18,3,0
2020-09-19,6,1
2020-09-20,6,0
