GDAY_DS,ER,WLS
2020-07-21,8,0
2020-07-24,2,1
2020-07-25,3,1
2020-07-26,8,0
2020-07-28,8,1
2020-07-31,2,0
2020-08-01,3,1
2020-08-02,0,1
2020-08-04,0,1
2020-08-06,2,1
2020-08-07,4,1
2020-08-08,1,
2020-08-12,4,1
2020-08-13,9,0
2020-08-14,0,1
2020-08-15,3,0
2020-08-16,6,0
2020-08-18,8,0
2020-08-19,3,1
2020-08-20,5,1
2020-08-21,1,0
2020-08-22,2,1
2020-08-23,0,1
2020-08-25,10,0
2020-08-26,1,1
2020-08-27,9,0
2020-08-28,7,0
2020-08-29,7,1
2020-08-30,2,1
2020-09-01,8,0
2020-09-03,4,0
2020-09-04,5,0
2020-09-04,7,1
2020-09-06,5,0
2020-09-07,5,1
2020-09-08,10,0
2020-09-09,5,1
2020-09-10,8,1
2020-09-11,3,1
2020-09-12,1,0
2020-09-13,3,0
2020-09-15,5,0
2020-09-16,1,1
2020-09-17,9,0
2020-09-18,3,1
2020-09-19,1,1
2020-09-20,7,0
2020-09-20,6,0
