GDAY_DS,ER,WLS
2020-07-21,5,1
2020-07-24,1,1
2020-07-25,6,0
2020-07-26,3,1
2020-07-28,11,0
2020-07-31,7,1
2020-08-01,11,0
2020-08-02,6,0
2020-08-05,7,0
2020-08-06,1,1
2020-08-08,3,0
2020-08-09,1,1
2020-08-12,8,0
2020-08-13,2,1
2020-08-14,10,0
2020-08-15,13,0
2020-08-16,3,0
2020-08-18,1,1
2020-08-19,5,0
2020-08-20,1,1
2020-08-21,4,1
2020-08-23,10,0
2020-08-24,8,0
2020-08-25,3,1
2020-08-26,5,1
2020-08-27,2,1
2020-08-28,11,0
2020-08-29,5,1
2020-08-30,4,1
2020-09-01,2,1
2020-09-02,5,0
2020-09-03,2,0
2020-09-04,5,
2020-09-06,5,0
2020-09-08,2,1
2020-09-09,7,0
2020-09-10,8,1
2020-09-10,1,1
2020-09-12,10,0
2020-09-13,4,0
2020-09-15,5,0
2020-09-16,3,1
2020-09-17,0,1
2020-09-18,5,1
2020-09-19,5,0
2020-09-20,1,1
2020-09-20,2,1
