GDAY_DS,ER,WLS
2020-07-21,1,1
2020-07-24,7,0
2020-07-25,3,1
2020-07-26,2,0
2020-07-28,5,0
2020-07-30,8,0
2020-07-31,10,0
2020-08-01,9,1
2020-08-02,4,1
2020-08-04,6,0
2020-08-05,1,
2020-08-06,2,1
2020-08-07,5,0
2020-08-08,1,
2020-08-11,1,1
2020-08-12,8,1
2020-08-13,3,0
2020-08-14,4,0
2020-08-15,4,1
2020-08-16,2,0
2020-08-18,2,1
2020-08-19,6,0
2020-08-20,6,0
2020-08-21,0,1
2020-08-22,1,1
2020-08-23,1,1
2020-08-25,6,1
2020-08-26,7,0
2020-08-27,8,0
2020-08-28,4,1
2020-08-29,5,
2020-08-30,4,0
2020-09-01,0,1
2020-09-03,10,0
2020-09-04,11,0
2020-09-05,1,1
2020-09-06,0,1
2020-09-08,0,1
2020-09-09,3,0
2020-09-10,4,1
2020-09-12,2,0
2020-09-13,6,
2020-09-15,3,1
2020-09-16,4,0
2020-09-17,3,0
2020-09-18,5,0
2020-09-19,9,0
2020-09-20,6,1
