GDAY_DS,ER,WLS
2020-07-21,6,0
2020-07-25,8,0
2020-07-26,6,0
2020-07-29,5,0
2020-07-30,0,1
2020-07-31,10,0
2020-08-01,21,0
2020-08-02,4,0
2020-08-04,2,1
2020-08-05,0,
2020-08-06,5,0
2020-08-07,0,1
2020-08-08,2,0
2020-08-11,6,0
2020-08-12,15,0
2020-08-13,2,1
2020-08-14,1,1
2020-08-15,0,1
2020-08-16,3,0
2020-08-18,5,0
2020-08-19,6,0
2020-08-20,3,1
2020-08-21,8,0
2020-08-22,5,0
2020-08-23,8,0
2020-08-25,3,1
2020-08-26,8,0
2020-08-27,7,0
2020-08-29,4,1
2020-08-30,3,0
2020-09-01,6,0
2020-09-03,6,1
2020-09-04,5,1
2020-09-06,3,0
2020-09-08,4,0
2020-09-09,4,0
2020-09-10,13,0
2020-09-11,12,0
2020-09-12,1,1
2020-09-13,0,1
2020-09-15,0,1
2020-09-16,11,0
2020-09-17,12,0
2020-09-18,13,0
2020-09-19,8,0
2020-09-20,6,1
