GDAY_DS,ER,WLS
2020-07-21,6,0
2020-07-24,4,0
2020-07-25,6,0
2020-07-26,0,1
2020-07-28,2,1
2020-07-30,5,1
2020-07-31,3,1
2020-08-01,6,0
2020-08-02,2,1
2020-08-04,4,0
2020-08-05,2,1
2020-08-06,2,1
2020-08-07,5,0
2020-08-08,1,1
2020-08-09,1,1
2020-08-11,5,0
2020-08-12,2,1
2020-08-13,3,1
2020-08-14,5,0
2020-08-15,0,1
2020-08-16,3,1
2020-08-18,5,0
2020-08-19,3,1
2020-08-20,5,1
2020-08-21,7,0
2020-08-22,1,0
2020-08-23,8,1
2020-08-25,1,1
2020-08-26,6,0
2020-08-27,7,1
2020-08-28,4,1
2020-08-29,5,0
2020-08-30,2,1
2020-09-01,5,0
2020-09-02,4,1
2020-09-03,3,1
2020-09-04,7,0
2020-09-05,8,0
2020-09-06,7,0
2020-09-08,12,1
2020-09-09,4,1
2020-09-10,1,0
2020-09-11,2,1
2020-09-12,0,1
2020-09-13,5,
2020-09-15,8,0
2020-09-16,8,0
2020-09-17,2,1
2020-09-18,1,0
2020-09-19,6,1
2020-09-20,9,0
